Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -3.06 [%/°C] , Reset Time = 1.99 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   0.0166667   42.088191    92.03404       92.00       50.00
   0.0333333   41.881025   91.966619       92.00       45.00
      0.0500   41.985547    92.00077       92.00       45.00
   0.0666667   41.903187   91.974072       92.00       45.00
   0.0833333   41.995422   92.004179       92.00       45.00
       0.100   41.947755   91.988696       92.00       45.00
   0.1166667   41.925922   91.981715       92.00       45.00
   0.1333333   41.906927   91.975711       92.00       45.00
       0.150    41.93515   91.985059       92.00       45.00
   0.1666667   42.039537   92.019013       92.00       45.00
   0.1833333   42.001204   92.006432       92.00       45.00
       0.200    41.91468   91.978337       92.00       45.00
   0.2166667   42.025768   92.014519       92.00       45.00
   0.2333333   42.016999   92.011557       92.00       45.00
       0.250   41.950328   91.989854       92.00       45.00
   0.2666667   41.993908   92.004062       92.00       45.00
   0.2833333   41.939564   91.986416       92.00       45.00
       0.300   41.930901   91.983721       92.00       45.00
   0.3166667   41.869641   91.964003       92.00       45.00
   0.3333333   41.926175   91.982624       92.00       45.00
       0.350   41.999908   92.006664       92.00       45.00
   0.3666667   41.906857   91.976452       92.00       45.00
   0.3833333   41.830732   91.951977       92.00       45.00
       0.400    41.98422   92.002119       92.00       45.00
   0.4166667   41.901723   91.975365       92.00       45.00
   0.4333333   41.876042   91.967247       92.00       45.00
       0.450   41.875889   91.967469       92.00       45.00
   0.4666667   41.882831   91.969989       92.00       45.00
   0.4833333   41.847126   91.958667       92.00       45.00
       0.500   41.870069   91.966446       92.00       45.00
   0.5166667   41.723385   91.919187       92.00       45.00
   0.5333333   41.800084   91.944715       92.00       45.00
       0.550   41.877609   91.970299       92.00       45.00
   0.5666667   41.877137   91.970393       92.00       45.00
   0.5833333   41.784806   91.940715       92.00       45.00
       0.600   41.782776    91.94055       92.00       45.00
   0.6166667   41.788056   91.942755       92.00       45.00
   0.6333333   41.803433   91.948214       92.00       45.00
       0.650   41.689945   91.911864       92.00       45.00
   0.6666667   41.635742    91.89503       92.00       45.00
   0.6833333   41.660471   91.903916       92.00       45.00
       0.700   41.709852   91.920718       92.00       45.00
   0.7166667   41.659823   91.905163       92.00       45.00
   0.7333333   41.654997   91.904386       92.00       45.00
       0.750   41.592473   91.884918       92.00       45.00
   0.7666667   41.512874   91.860077       92.00       45.00
   0.7833333   41.520916   91.863845       92.00       45.00
       0.800   41.604212   91.891971       92.00       45.00
   0.8166667    41.52807   91.868191       92.00       45.00
   0.8333333    41.49638   91.859016       92.00       45.00
       0.850   41.421262   91.835843       92.00       45.00
   0.8666667   41.510975   91.866281       92.00       45.00
   0.8833333   41.442904   91.845331       92.00       45.00
       0.900   41.367608   91.822213       92.00       45.00
   0.9166667   41.421872   91.841276       92.00       45.00
   0.9333333    41.44323   91.849516       92.00       45.00
       0.950   41.322474   91.811631       92.00       45.00
   0.9666667   41.181264   91.767431       92.00       45.00
   0.9833333   41.182104   91.769635       92.00       45.00
        1.00   41.159065   91.764082       92.00       45.00
   1.0166667    41.12018    91.75344       92.00       45.00
   1.0333333    41.18692   91.777117       92.00       45.00
        1.05   41.070994   91.741398       92.00       45.00
   1.0666667   41.051496   91.737227       92.00       45.00
   1.0833333   41.063786   91.743393       92.00       45.00
        1.10   41.009612   91.727967       92.00       45.00
   1.1166667   40.991473   91.724348       92.00       45.00
   1.1333333   40.922036   91.704134       92.00       45.00
        1.15   40.877425   91.692134       92.00       45.00
   1.1666667   40.790635   91.666563       92.00       45.00
   1.1833333   40.845671   91.687169       92.00       45.00
        1.20   40.684726   91.637608       92.00       45.00
   1.2166667   40.607227   91.615502       92.00       45.00
   1.2333333   40.726956   91.657497       92.00       45.00
        1.25   40.650427    91.63554       92.00       45.00
   1.2666667   40.607463   91.624644       92.00       45.00
   1.2833333   40.607333   91.627719       92.00       45.00
        1.30   40.525847   91.604403       92.00       45.00
   1.3166667   40.505627   91.601135       92.00       45.00
   1.3333333   40.379875   91.563694       92.00       45.00
        1.35   40.337705   91.553651       92.00       45.00
   1.3666667   40.291013   91.542226       92.00       45.00
   1.3833333   40.228185   91.525667       92.00       45.00
        1.40    40.19482   91.518794       92.00       45.00
   1.4166667   40.080519   91.485747       92.00       45.00
