Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  Manual Mode

  

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   0.0166667       42.00   91.968301   91.968301       50.00
   0.0333333       80.00   92.020985   92.020985       50.00
      0.0500       80.00   91.991778   91.991778       50.00
   0.0666667       80.00   91.989767   91.989767       50.00
   0.0833333       80.00   91.979277   91.979277       50.00
       0.100       80.00    91.96225    91.96225       50.00
   0.1166667       80.00   91.973111   91.973111       50.00
   0.1333333       80.00   91.990321   91.990321       50.00
       0.150       80.00   91.980644   91.980644       50.00
   0.1666667       80.00   91.990048   91.990048       50.00
   0.1833333       80.00   91.976252   91.976252       50.00
       0.200       80.00   91.967806   91.967806       50.00
   0.2166667       80.00   91.958593   91.958593       50.00
   0.2333333       80.00   91.969101   91.969101       50.00
       0.250       80.00    91.98288    91.98288       50.00
   0.2666667       80.00   91.950407   91.950407       50.00
   0.2833333       80.00   91.976335   91.976335       50.00
       0.300       80.00   91.904478   91.904478       50.00
   0.3166667       80.00   91.931564   91.931564       50.00
   0.3333333       80.00   91.914772   91.914772       50.00
       0.350       80.00   91.914778   91.914778       50.00
   0.3666667       80.00   91.891352   91.891352       50.00
   0.3833333       80.00   91.869547   91.869547       50.00
       0.400       80.00   91.870897   91.870897       50.00
   0.4166667       80.00   91.837139   91.837139       50.00
   0.4333333       80.00   91.820449   91.820449       50.00
       0.450       80.00   91.844349   91.844349       50.00
   0.4666667       80.00    91.76785    91.76785       50.00
   0.4833333       80.00    91.76294    91.76294       50.00
       0.500       80.00   91.755919   91.755919       50.00
   0.5166667       80.00   91.722363   91.722363       50.00
   0.5333333       80.00   91.634914   91.634914       50.00
       0.550       80.00   91.666441   91.666441       50.00
   0.5666667       80.00   91.621406   91.621406       50.00
   0.5833333       80.00   91.587663   91.587663       50.00
       0.600       80.00   91.575488   91.575488       50.00
   0.6166667       80.00   91.538669   91.538669       50.00
   0.6333333       80.00   91.489816   91.489816       50.00
       0.650       80.00    91.46576    91.46576       50.00
   0.6666667       80.00    91.43326    91.43326       50.00
   0.6833333       80.00   91.395284   91.395284       50.00
       0.700       80.00   91.358326   91.358326       50.00
   0.7166667       80.00   91.312908   91.312908       50.00
   0.7333333       80.00   91.251525   91.251525       50.00
       0.750       80.00   91.236102   91.236102       50.00
   0.7666667       80.00    91.17825    91.17825       50.00
   0.7833333       80.00   91.150798   91.150798       50.00
       0.800       80.00   91.084699   91.084699       50.00
   0.8166667       80.00   91.039765   91.039765       50.00
   0.8333333       80.00   90.964032   90.964032       50.00
       0.850       80.00   90.967911   90.967911       50.00
   0.8666667       80.00   90.910869   90.910869       50.00
   0.8833333       80.00   90.861062   90.861062       50.00
       0.900       80.00   90.813017   90.813017       50.00
   0.9166667       80.00   90.727843   90.727843       50.00
   0.9333333       80.00   90.735786   90.735786       50.00
       0.950       80.00   90.628862   90.628862       50.00
   0.9666667       80.00   90.591036   90.591036       50.00
   0.9833333       80.00   90.537225   90.537225       50.00
        1.00       80.00   90.493117   90.493117       50.00
   1.0166667       80.00    90.42705    90.42705       50.00
   1.0333333       80.00   90.368973   90.368973       50.00
        1.05       80.00   90.319874   90.319874       50.00
   1.0666667       80.00   90.228466   90.228466       50.00
   1.0833333       80.00   90.212608   90.212608       50.00
        1.10       80.00   90.150474   90.150474       50.00
   1.1166667       80.00   90.103369   90.103369       50.00
   1.1333333       80.00   89.994224   89.994224       50.00
        1.15       80.00   89.935516   89.935516       50.00
   1.1666667       80.00   89.894216   89.894216       50.00
   1.1833333       80.00   89.853694   89.853694       50.00
        1.20       80.00   89.787813   89.787813       50.00
   1.2166667       80.00   89.759848   89.759848       50.00
   1.2333333       80.00    89.67884    89.67884       50.00
        1.25       80.00   89.629103   89.629103       50.00
   1.2666667       80.00   89.549669   89.549669       50.00
   1.2833333       80.00   89.497648   89.497648       50.00
        1.30       80.00   89.408558   89.408558       50.00
   1.3166667       80.00     89.3898     89.3898       50.00
   1.3333333       80.00   89.305129   89.305129       50.00
        1.35       80.00   89.241341   89.241341       50.00
   1.3666667       80.00   89.181069   89.181069       50.00
   1.3833333       80.00   89.133146   89.133146       50.00
        1.40       80.00   89.056901   89.056901       50.00
   1.4166667       80.00   88.995396   88.995396       50.00
   1.4333333       80.00   88.955937   88.955937       50.00
        1.45       80.00   88.869168   88.869168       50.00
   1.4666667       80.00   88.803595   88.803595       50.00
   1.4833333       80.00   88.765353   88.765353       50.00
        1.50       80.00   88.682252   88.682252       50.00
   1.5166667       80.00   88.659067   88.659067       50.00
   1.5333333       80.00   88.571195   88.571195       50.00
        1.55       80.00   88.554304   88.554304       50.00
   1.5666667       80.00   88.465595   88.465595       50.00
   1.5833333       80.00   88.404113   88.404113       50.00
        1.60       80.00    88.31817    88.31817       50.00
   1.6166667       80.00   88.278722   88.278722       50.00
