Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  PID ( P= DA, I= ARW, D= off, F = off)

  Tuning: Gain = -4.0 [%/°C] , Reset Time = 4.0 [min], Sample Time = 1.0 [sec]

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   0.0166667   67.060766   84.989045       85.00       50.00
   0.0333333   67.121492   85.004209       85.00       50.00
      0.0500   67.107429    85.00069       85.00       50.00
   0.0666667   67.109841   85.001288       85.00       50.00
   0.0833333   67.092413   84.996944       85.00       50.00
       0.100   67.119774   85.003768       85.00       50.00
   0.1166667   67.147941   85.010765       85.00       50.00
   0.1333333   67.127399   85.005606       85.00       50.00
       0.150   67.104247   84.999819       85.00       50.00
   0.1666667   67.073618   84.992194       85.00       50.00
   0.1833333   67.055819   84.987795       85.00       50.00
       0.200   67.017635    84.97834       85.00       50.00
   0.2166667   67.186182   85.020391       85.00       50.00
   0.2333333   67.048188   84.985951       85.00       50.00
       0.250   67.060368   84.989042       85.00       50.00
   0.2666667   67.096568     84.9981       85.00       50.00
   0.2833333   67.268045   85.040799       85.00       50.00
       0.300   67.055573   84.987732       85.00       50.00
   0.3166667   67.083089   84.994634       85.00       50.00
   0.3333333   67.154949   85.012546       85.00       50.00
       0.350   67.073733   84.992275       85.00       50.00
   0.3666667   67.143311   85.009629       85.00       50.00
   0.3833333   67.028286   84.980952       85.00       50.00
       0.400   67.122973   85.004605       85.00       50.00
   0.4166667   67.033535   84.982319       85.00       50.00
   0.4333333   67.142361   85.009486       85.00       50.00
       0.450   67.073676   84.992347       85.00       50.00
   0.4666667   67.167216   85.015666       85.00       50.00
   0.4833333   67.162551    85.01444       85.00       50.00
       0.500   67.110583   85.001442       85.00       50.00
   0.5166667   67.155902   85.012718       85.00       50.00
   0.5333333   67.115046   85.002494       85.00       50.00
       0.550   67.036649   84.982966       85.00       50.00
   0.5666667   67.136639    85.00793       85.00       50.00
   0.5833333   67.100496   84.998899       85.00       50.00
       0.600   67.068973   84.991056       85.00       50.00
   0.6166667   67.105416   85.000166       85.00       50.00
   0.6333333   67.072537   84.991979       85.00       50.00
       0.650    66.93614   84.958055       85.00       50.00
   0.6666667   67.088176    84.99608       85.00       50.00
   0.6833333   67.150154   85.011527       85.00       50.00
       0.700   67.175148   85.017701       85.00       50.00
   0.7166667   66.974728   84.967731       85.00       50.00
   0.7333333   67.165979   85.015479       85.00       50.00
       0.750   67.085154   84.995292       85.00       50.00
   0.7666667   67.235241   85.032678       85.00       50.00
   0.7833333   67.188024   85.020787       85.00       50.00
       0.800   67.101725   84.999216       85.00       50.00
   0.8166667   67.203989   85.024679       85.00       50.00
   0.8333333    67.14112   85.008925       85.00       50.00
       0.850     67.2446    85.03465       85.00       50.00
   0.8666667   67.173634   85.016839       85.00       50.00
   0.8833333   67.160765   85.013565       85.00       50.00
       0.900   67.184129   85.019325       85.00       50.00
   0.9166667   67.063507   84.989215       85.00       50.00
   0.9333333   67.066493   84.990003       85.00       50.00
       0.950   67.266778   85.039908       85.00       50.00
   0.9666667   67.093516   84.996607       85.00       50.00
   0.9833333   67.076715   84.992438       85.00       50.00
        1.00   67.188846   85.020386       85.00       50.00
   1.0166667   67.036583   84.982393       85.00       50.00
   1.0333333    67.05065   84.985968       85.00       50.00
        1.05   67.108348   85.000391       85.00       50.00
   1.0666667   67.133089   85.006549       85.00       50.00
   1.0833333   67.133479   85.006619       85.00       50.00
        1.10   67.171073   85.015951       85.00       50.00
   1.1166667   67.138514   85.007779       85.00       50.00
   1.1333333    67.01605   84.977258       85.00       50.00
        1.15   67.139604   85.008112       85.00       50.00
   1.1666667   67.033214   84.981592       85.00       50.00
   1.1833333   67.176617    85.01737       85.00       50.00
        1.20   67.163022   85.013913       85.00       50.00
   1.2166667   66.981962   84.968778       85.00       50.00
   1.2333333   67.185804   85.019657       85.00       50.00
        1.25   67.148348    85.01025       85.00       50.00
   1.2666667   67.029513   84.980622       85.00       50.00
   1.2833333   67.167277   85.015001       85.00       50.00
        1.30   67.113676   85.001594       85.00       50.00
   1.3166667   67.086491   84.994819       85.00       50.00
   1.3333333    67.16531   85.014464       85.00       50.00
        1.35   67.231692    85.03093       85.00       50.00
   1.3666667   67.117288   85.002319       85.00       50.00
   1.3833333   67.108245   85.000059       85.00       50.00
        1.40   67.200895   85.023125       85.00       50.00
   1.4166667   67.089093   84.995194       85.00       50.00
   1.4333333   67.116576   85.002056       85.00       50.00
        1.45   67.083713   84.993866       85.00       50.00
   1.4666667   67.052537    84.98613       85.00       50.00
   1.4833333   67.080187   84.993071       85.00       50.00
        1.50   67.177632    85.01736       85.00       50.00
   1.5166667   67.210907   85.025572       85.00       50.00
   1.5333333   67.214282   85.026307       85.00       50.00
        1.55   67.050724   84.985478       85.00       50.00
   1.5666667   67.105661   84.999215       85.00       50.00
   1.5833333   67.141586   85.008162       85.00       50.00
        1.60   67.076188   84.991847       85.00       50.00
   1.6166667   67.111132    85.00058       85.00       50.00
   1.6333333   67.159401   85.012595       85.00       50.00
        1.65   67.151428   85.010558       85.00       50.00
   1.6666667   67.086432   84.994333       85.00       50.00
   1.6833333   67.165067   85.013933       85.00       50.00
        1.70    67.11087   85.000382       85.00       50.00
   1.7166667      67.101   84.997924       85.00       50.00
   1.7333333   67.140449   85.007753       85.00       50.00
        1.75   67.080107   84.992699       85.00       50.00
   1.7666667   67.050491   84.985356       85.00       50.00
   1.7833333   67.009329   84.975169       85.00       50.00
        1.80   67.162574   85.013424       85.00       50.00
   1.8166667   67.131039   85.005517       85.00       50.00
   1.8333333   67.135875   85.006698       85.00       50.00
        1.85   67.128141   85.004745       85.00       50.00
   1.8666667   67.161995   85.013154       85.00       50.00
   1.8833333   67.118334   85.002229       85.00       50.00
        1.90   67.096196   84.996708       85.00       50.00
   1.9166667   67.186926    85.01931       85.00       50.00
   1.9333333   67.199667   85.022402       85.00       50.00
        1.95    67.24777   85.034285       85.00       50.00
   1.9666667   67.130641   85.004982       85.00       50.00
   1.9833333   67.058489   84.986998       85.00       50.00
        2.00   67.066773   84.989115       85.00       50.00
   2.0166667   67.093679   84.995858       85.00       50.00
   2.0333333   67.126673    85.00409       85.00       50.00
        2.05   67.019638   84.977425       85.00       50.00
   2.0666667   67.120296   85.002579       85.00       50.00
   2.0833333   67.033735   84.981018       85.00       50.00
        2.10   67.131605   85.005462       85.00       50.00
   2.1166667   67.145651   85.008937       85.00       50.00
   2.1333333    67.07515   84.991348       85.00       50.00
        2.15   67.099684   84.997492       85.00       50.00
   2.1666667   67.103701   84.998502       85.00       50.00
   2.1833333   66.945496   84.959121       85.00       50.00
        2.20   67.042532   84.983449       85.00       50.00
   2.2166667   66.997359   84.972271       85.00       50.00
   2.2333333   67.097555   84.997331       85.00       50.00
        2.25   67.176535   85.017005       85.00       50.00
   2.2666667   67.149759   85.010269       85.00       50.00
   2.2833333   67.002057   84.973454       85.00       50.00
        2.30   67.096988   84.997198       85.00       50.00
   2.3166667   67.092332   84.996051       85.00       50.00
   2.3333333   67.019586   84.977956       85.00       50.00
        2.35   67.192306   85.021049       85.00       50.00
   2.3666667   67.126492   85.004576       85.00       50.00
   2.3833333   67.163273   85.013714       85.00       50.00
        2.40   66.995295   84.971837       85.00       50.00
   2.4166667   67.117731   85.002436       85.00       50.00
   2.4333333   67.129176   85.005275       85.00       50.00
        2.45   67.161627   85.013332       85.00       50.00
   2.4666667    67.19298   85.021083       85.00       50.00
   2.4833333   67.010627   84.975596       85.00       50.00
        2.50   67.255294    85.03661       85.00       50.00
   2.5166667   67.063289   84.988656       85.00       50.00
   2.5333333   67.193276   85.021065       85.00       50.00
        2.55   67.050228   84.985364       85.00       50.00
   2.5666667    67.03341   84.981238       85.00       50.00
   2.5833333   66.980871   84.968236       85.00       50.00
        2.60   67.143081   85.008751       85.00       50.00
   2.6166667   67.183291   85.018726       85.00       50.00
   2.6333333    67.01529   84.976822       85.00       50.00
        2.65   67.008267    84.97517       85.00       50.00
   2.6666667   67.176727   85.017213       85.00       50.00
Time Units = Minutes

  Process:  Single Loop Jacketed Reactor


  Controller:  Manual Mode

  

        Time     Controller   Process
       (Min)       Output     Variable   Set Point   Disturbance
   2.6833333       67.10   84.993871   84.993871       50.00
        2.70       67.10   85.006486   85.006486       50.00
   2.7166667       67.10    84.99737    84.99737       50.00
   2.7333333       67.10   84.989901   84.989901       50.00
        2.75       67.10   84.983413   84.983413       50.00
   2.7666667       67.10   84.984796   84.984796       50.00
   2.7833333       67.10   85.024551   85.024551       50.00
        2.80       67.10   85.002238   85.002238       50.00
   2.8166667       67.10   85.008672   85.008672       50.00
   2.8333333       67.10   84.997161   84.997161       50.00
        2.85       67.10   84.995096   84.995096       50.00
   2.8666667       67.10   84.991656   84.991656       50.00
   2.8833333       67.10   84.992551   84.992551       50.00
        2.90       67.10   85.004007   85.004007       50.00
   2.9166667       67.10   85.016584   85.016584       50.00
   2.9333333       67.10   84.970578   84.970578       50.00
        2.95       67.10   85.003401   85.003401       50.00
   2.9666667       67.10   84.975211   84.975211       50.00
   2.9833333       67.10   84.994035   84.994035       50.00
        3.00       67.10      85.013      85.013       50.00
